IsoDatetime,forced_outages_mw,planned_outages_mw,forced_outages_uncertainty_mw,planned_outages_uncertainty_mw
2016-10-01T00:00:00,2691.0,830.0,0.0,0.0
2016-10-01T01:00:00,2691.0,830.0,0.0,0.0
2016-10-01T02:00:00,2691.0,830.0,0.0,0.0
2016-10-01T03:00:00,2801.0,830.0,0.0,0.0
2016-10-01T04:00:00,2801.0,830.0,0.0,0.0
2016-10-01T05:00:00,2801.0,830.0,0.0,0.0
2016-10-01T06:00:00,2801.0,830.0,0.0,0.0
2016-10-01T07:00:00,2921.0,830.0,0.0,0.0
2016-10-01T08:00:00,2921.0,830.0,0.0,0.0
2016-10-01T09:00:00,2921.0,830.0,0.0,0.0
2016-10-01T10:00:00,2921.0,830.0,0.0,0.0
2016-10-01T11:00:00,2921.0,830.0,0.0,0.0
2016-10-01T12:00:00,2921.0,830.0,0.0,0.0
2016-10-01T13:00:00,2691.0,830.0,0.0,0.0
2016-10-01T14:00:00,2691.0,830.0,0.0,0.0
2016-10-01T15:00:00,2691.0,830.0,0.0,0.0
2016-10-01T16:00:00,2691.0,830.0,0.0,0.0
2016-10-01T17:00:00,2691.0,830.0,0.0,0.0
2016-10-01T18:00:00,2691.0,830.0,0.0,0.0
2016-10-01T19:00:00,2691.0,830.0,0.0,0.0
2016-10-01T20:00:00,2691.0,830.0,0.0,0.0
2016-10-01T21:00:00,2691.0,830.0,0.0,0.0
2016-10-01T22:00:00,2691.0,830.0,0.0,0.0
2016-10-01T23:00:00,2691.0,830.0,0.0,0.0
2016-10-02T00:00:00,2691.0,830.0,0.0,0.0
2016-10-02T01:00:00,2691.0,830.0,0.0,0.0
2016-10-02T02:00:00,2691.0,830.0,0.0,0.0
2016-10-02T03:00:00,2691.0,830.0,0.0,0.0
2016-10-02T04:00:00,2691.0,830.0,0.0,0.0
2016-10-02T05:00:00,2691.0,830.0,0.0,0.0
2016-10-02T06:00:00,2691.0,997.0,0.0,0.0
2016-10-02T07:00:00,2691.0,997.0,0.0,0.0
2016-10-02T08:00:00,2691.0,997.0,0.0,0.0
2016-10-02T09:00:00,2691.0,997.0,0.0,0.0
2016-10-02T10:00:00,2691.0,997.0,0.0,0.0
2016-10-02T11:00:00,2691.0,997.0,0.0,0.0
2016-10-02T12:00:00,2691.0,997.0,0.0,0.0
2016-10-02T13:00:00,2691.0,997.0,0.0,0.0
2016-10-02T14:00:00,2691.0,997.0,0.0,0.0
2016-10-02T15:00:00,2691.0,997.0,0.0,0.0
2016-10-02T16:00:00,2691.0,997.0,0.0,0.0
2016-10-02T17:00:00,2691.0,997.0,0.0,0.0
2016-10-02T18:00:00,2691.0,997.0,0.0,0.0
2016-10-02T19:00:00,2691.0,997.0,0.0,0.0
2016-10-02T20:00:00,2691.0,997.0,0.0,0.0
2016-10-02T21:00:00,2691.0,997.0,0.0,0.0
2016-10-02T22:00:00,2273.0,997.0,0.0,0.0
2016-10-02T23:00:00,2273.0,997.0,0.0,0.0
2016-10-03T00:00:00,2691.0,997.0,0.0,0.0
2016-10-03T01:00:00,2691.0,997.0,0.0,0.0
2016-10-03T02:00:00,2691.0,997.0,0.0,0.0
2016-10-03T03:00:00,2691.0,997.0,0.0,0.0
2016-10-03T04:00:00,2691.0,997.0,0.0,0.0
2016-10-03T05:00:00,2691.0,997.0,0.0,0.0
2016-10-03T06:00:00,2691.0,997.0,0.0,0.0
2016-10-03T07:00:00,2691.0,997.0,0.0,0.0
2016-10-03T08:00:00,2691.0,997.0,0.0,0.0
2016-10-03T09:00:00,2691.0,997.0,0.0,0.0
2016-10-03T10:00:00,2691.0,997.0,0.0,0.0
2016-10-03T11:00:00,2691.0,997.0,0.0,0.0
2016-10-03T12:00:00,2691.0,997.0,0.0,0.0
2016-10-03T13:00:00,2691.0,997.0,0.0,0.0
2016-10-03T14:00:00,2691.0,997.0,0.0,0.0
2016-10-03T15:00:00,2691.0,997.0,0.0,0.0
2016-10-03T16:00:00,2691.0,997.0,0.0,0.0
2016-10-03T17:00:00,2691.0,997.0,0.0,0.0
2016-10-03T18:00:00,2691.0,997.0,0.0,0.0
2016-10-03T19:00:00,2691.0,997.0,0.0,0.0
2016-10-03T20:00:00,2691.0,997.0,0.0,0.0
2016-10-03T21:00:00,2691.0,997.0,0.0,0.0
2016-10-03T22:00:00,2273.0,997.0,0.0,0.0
2016-10-03T23:00:00,2273.0,997.0,0.0,0.0
2016-10-04T00:00:00,2273.0,997.0,0.0,0.0
2016-10-04T01:00:00,2273.0,997.0,0.0,0.0
2016-10-04T02:00:00,2391.0,997.0,0.0,0.0
2016-10-04T03:00:00,2391.0,997.0,0.0,0.0
2016-10-04T04:00:00,2391.0,997.0,0.0,0.0
2016-10-04T05:00:00,2391.0,997.0,0.0,0.0
2016-10-04T06:00:00,2391.0,997.0,0.0,0.0
2016-10-04T07:00:00,2391.0,997.0,0.0,0.0
2016-10-04T08:00:00,2391.0,997.0,0.0,0.0
2016-10-04T09:00:00,2391.0,997.0,0.0,0.0
2016-10-04T10:00:00,2391.0,997.0,0.0,0.0
2016-10-04T11:00:00,2332.0,1415.0,0.0,0.0
2016-10-04T12:00:00,2273.0,1415.0,0.0,0.0
2016-10-04T13:00:00,2273.0,1415.0,0.0,0.0
2016-10-04T14:00:00,2273.0,1415.0,0.0,0.0
2016-10-04T15:00:00,2273.0,1415.0,0.0,0.0
2016-10-04T16:00:00,2273.0,1415.0,0.0,0.0
2016-10-04T17:00:00,2273.0,1415.0,0.0,0.0
2016-10-04T18:00:00,2273.0,1415.0,0.0,0.0
2016-10-04T19:00:00,2273.0,1415.0,0.0,0.0
2016-10-04T20:00:00,2273.0,1415.0,0.0,0.0
2016-10-04T21:00:00,2273.0,1415.0,0.0,0.0
2016-10-04T22:00:00,2273.0,1415.0,0.0,0.0
2016-10-04T23:00:00,2273.0,1415.0,0.0,0.0
2016-10-05T00:00:00,2273.0,1415.0,0.0,0.0
2016-10-05T01:00:00,2273.0,1415.0,0.0,0.0
2016-10-05T02:00:00,2273.0,1415.0,0.0,0.0
2016-10-05T03:00:00,2273.0,1415.0,0.0,0.0
2016-10-05T04:00:00,2273.0,1415.0,0.0,0.0
2016-10-05T05:00:00,2273.0,1415.0,0.0,0.0
2016-10-05T06:00:00,2273.0,1415.0,0.0,0.0
2016-10-05T07:00:00,2273.0,1415.0,0.0,0.0
2016-10-05T08:00:00,2273.0,1415.0,0.0,0.0
2016-10-05T09:00:00,2273.0,1415.0,0.0,0.0
2016-10-05T10:00:00,2273.0,1415.0,0.0,0.0
2016-10-05T11:00:00,2273.0,1415.0,0.0,0.0
2016-10-05T12:00:00,2273.0,1415.0,0.0,0.0
2016-10-05T13:00:00,2273.0,1415.0,0.0,0.0
2016-10-05T14:00:00,2273.0,1415.0,0.0,0.0
2016-10-05T15:00:00,2273.0,1415.0,0.0,0.0
2016-10-05T16:00:00,2273.0,1415.0,0.0,0.0
2016-10-05T17:00:00,2273.0,1415.0,0.0,0.0
2016-10-05T18:00:00,2273.0,1415.0,0.0,0.0
2016-10-05T19:00:00,2218.0,1415.0,0.0,0.0
2016-10-05T20:00:00,2163.0,1415.0,0.0,0.0
2016-10-05T21:00:00,2163.0,1415.0,0.0,0.0
2016-10-05T22:00:00,2163.0,1415.0,0.0,0.0
2016-10-05T23:00:00,2163.0,1415.0,0.0,0.0
2016-10-06T00:00:00,2163.0,1565.0,0.0,0.0
2016-10-06T01:00:00,2163.0,1795.0,0.0,0.0
2016-10-06T02:00:00,2163.0,1462.5,0.0,0.0
2016-10-06T03:00:00,2163.0,1415.0,0.0,0.0
2016-10-06T04:00:00,2163.0,1415.0,0.0,0.0
2016-10-06T05:00:00,2163.0,1415.0,0.0,0.0
2016-10-06T06:00:00,3233.0,1415.0,0.0,0.0
2016-10-06T07:00:00,3233.0,1415.0,0.0,0.0
2016-10-06T08:00:00,3233.0,1415.0,0.0,0.0
2016-10-06T09:00:00,2698.0,1415.0,0.0,0.0
2016-10-06T10:00:00,2163.0,1415.0,0.0,0.0
2016-10-06T11:00:00,2163.0,1415.0,0.0,0.0
2016-10-06T12:00:00,2163.0,1415.0,0.0,0.0
2016-10-06T13:00:00,2163.0,1415.0,0.0,0.0
2016-10-06T14:00:00,2163.0,1415.0,0.0,0.0
2016-10-06T15:00:00,2163.0,1415.0,0.0,0.0
2016-10-06T16:00:00,2163.0,1415.0,0.0,0.0
2016-10-06T17:00:00,2163.0,1415.0,0.0,0.0
2016-10-06T18:00:00,2163.0,1415.0,0.0,0.0
2016-10-06T19:00:00,2163.0,1415.0,0.0,0.0
2016-10-06T20:00:00,2163.0,997.0,0.0,0.0
2016-10-06T21:00:00,2163.0,997.0,0.0,0.0
2016-10-06T22:00:00,2163.0,997.0,0.0,0.0
2016-10-06T23:00:00,2163.0,997.0,0.0,0.0
2016-10-07T00:00:00,2163.0,1177.0,0.0,0.0
2016-10-07T01:00:00,2163.0,1177.0,0.0,0.0
2016-10-07T02:00:00,2163.0,1177.0,0.0,0.0
2016-10-07T03:00:00,2163.0,1177.0,0.0,0.0
2016-10-07T04:00:00,2163.0,1177.0,0.0,0.0
2016-10-07T05:00:00,2163.0,997.0,0.0,0.0
2016-10-07T06:00:00,2163.0,997.0,0.0,0.0
2016-10-07T07:00:00,2163.0,997.0,0.0,0.0
2016-10-07T08:00:00,2163.0,997.0,0.0,0.0
2016-10-07T09:00:00,2163.0,997.0,0.0,0.0
2016-10-07T10:00:00,2163.0,997.0,0.0,0.0
2016-10-07T11:00:00,2163.0,913.5,0.0,0.0
2016-10-07T12:00:00,2163.0,830.0,0.0,0.0
2016-10-07T13:00:00,2163.0,830.0,0.0,0.0
2016-10-07T14:00:00,2163.0,830.0,0.0,0.0
2016-10-07T15:00:00,2163.0,970.0,0.0,0.0
2016-10-07T16:00:00,2163.0,970.0,0.0,0.0
2016-10-07T17:00:00,2163.0,970.0,0.0,0.0
2016-10-07T18:00:00,2163.0,970.0,0.0,0.0
2016-10-07T19:00:00,2163.0,970.0,0.0,0.0
2016-10-07T20:00:00,2163.0,830.0,0.0,0.0
2016-10-07T21:00:00,2163.0,1738.0,0.0,0.0
2016-10-07T22:00:00,2163.0,1738.0,0.0,0.0
2016-10-07T23:00:00,2163.0,1738.0,0.0,0.0
2016-10-08T00:00:00,2163.0,2098.0,0.0,0.0
2016-10-08T01:00:00,2163.0,2098.0,0.0,0.0
2016-10-08T02:00:00,2163.0,2098.0,0.0,0.0
2016-10-08T03:00:00,2163.0,2098.0,0.0,0.0
2016-10-08T04:00:00,2163.0,2098.0,0.0,0.0
2016-10-08T05:00:00,2163.0,2098.0,0.0,0.0
2016-10-08T06:00:00,2163.0,2098.0,0.0,0.0
2016-10-08T07:00:00,2163.0,2098.0,0.0,0.0
2016-10-08T08:00:00,2163.0,2098.0,0.0,0.0
2016-10-08T09:00:00,2163.0,2098.0,0.0,0.0
2016-10-08T10:00:00,2163.0,2098.0,0.0,0.0
2016-10-08T11:00:00,2163.0,2098.0,0.0,0.0
2016-10-08T12:00:00,2163.0,2098.0,0.0,0.0
2016-10-08T13:00:00,2163.0,2098.0,0.0,0.0
2016-10-08T14:00:00,2163.0,2098.0,0.0,0.0
2016-10-08T15:00:00,2163.0,2098.0,0.0,0.0
2016-10-08T16:00:00,2163.0,2098.0,0.0,0.0
2016-10-08T17:00:00,2163.0,2098.0,0.0,0.0
2016-10-08T18:00:00,2163.0,2098.0,0.0,0.0
2016-10-08T19:00:00,2163.0,2098.0,0.0,0.0
2016-10-08T20:00:00,2163.0,2098.0,0.0,0.0
2016-10-08T21:00:00,2163.0,2098.0,0.0,0.0
2016-10-08T22:00:00,2163.0,2098.0,0.0,0.0
2016-10-08T23:00:00,2163.0,2098.0,0.0,0.0
2016-10-09T00:00:00,2163.0,2098.0,0.0,0.0
2016-10-09T01:00:00,2163.0,2098.0,0.0,0.0
2016-10-09T02:00:00,2163.0,2098.0,0.0,0.0
2016-10-09T03:00:00,2163.0,2098.0,0.0,0.0
2016-10-09T04:00:00,2163.0,1308.0,0.0,0.0
2016-10-09T05:00:00,2163.0,1308.0,0.0,0.0
2016-10-09T06:00:00,2163.0,1698.0,0.0,0.0
2016-10-09T07:00:00,2163.0,1308.0,0.0,0.0
2016-10-09T08:00:00,2163.0,1515.5,0.0,0.0
2016-10-09T09:00:00,2163.0,1308.0,0.0,0.0
2016-10-09T10:00:00,2163.0,1308.0,0.0,0.0
2016-10-09T11:00:00,2163.0,1308.0,0.0,0.0
2016-10-09T12:00:00,2163.0,1308.0,0.0,0.0
2016-10-09T13:00:00,2163.0,1308.0,0.0,0.0
2016-10-09T14:00:00,2163.0,1308.0,0.0,0.0
2016-10-09T15:00:00,2163.0,1308.0,0.0,0.0
2016-10-09T16:00:00,2163.0,1308.0,0.0,0.0
2016-10-09T17:00:00,2163.0,1308.0,0.0,0.0
